team,GitHubDA,Product,Utterance,GitHubpol
g11,sd sd sv sd aa qo qo qo no sd ad sd sd ad sd bf sd sd ad sv sv sd sd sd qy^d aa aa ba sd sd sd sd ba % qw aa sv oo_co_cc,u,"[WIP] Move getambassador.io/config annotation unfolding to happen in watt #2271.The CI that runs on this PR should adequately test the change..annotationResource.QName() likely won't work here, because it hasn't yet done the un-folding of the collapsed metadata..This check should be moved down to below that un-folding..Luke, I'm sorry to hear about your clown issues, and am happy to help put them to rest..I'm gonna guess the tests are failing because the height limit you've somehow come up with for the Ambassador CRs isn't sufficient -- maybe raise that and try again?.What do you mean by that?.What height limit?.Edit: Oh, a joke. :P.Merge remote-tracking branch 'origin/master' into lukeshu/watt-annotaâ¦ .watt annotation handling: Fix type conversions â¦. force-pushed the lukeshu/watt-annotations branch from e907e51 to 525f3 4 days ago.Don't forget about Ingress.v1beta1.extensions. annotations: Move the apiVersion handling down â¦.The KAT tests pass if KAT_RUN_MODE=envoy.. The reason I haven't committed updated gold files is that a bunch of the names and rkeys are messed up..A few of the non-KAT pytests fail (test_docker, 1 or 2 others).Launch envoy through capability wrapper #2050.Don't merge this just yet... Going to do a bit more testing..The tests don't run locally and I want to see if they work in CI..This works fine locally, I'll be darned if I can get tests to pass (on this branch or master) on my Mac or on a new k3s cluster though..With the latest rebase it's now only my tests that are failing.. I'll try it again locally..Hey, now that we've gotten past the 1.0 transition I'd like to get this landed.. Need help from us to get tests sorted out?.Hey, yes, please..Give me some time to get caught up and rebased so I know what the current problem is..Thanks!.Launch envoy through capability wrapper #2050.Add X-Forwarded-Client-Certificate (XFCC) support #2053.This issue has been automatically marked as stale because it has not had recent activity.. It will be closed if no further activity occurs.. Thank you for your contributions..notstale.Hey @jwm -- want to take a crack at conflict resolution here?. I can take a look at typing after that... thanks!!.Also, to specifically flag it: the Python test here is a copy pasta of ServerNameTest and doesn't meaningfully test this change.. I haven't looked at the test subsystem recently -- if you've finished that refactor to make it easier to test (or could give some quick info/pointers to docs on how to go about it), I can poke at that hopefully this week.",0.0  0.3333333333333333  0.0  -0.15555555555555559  0.15000000000000002  0.0  -0.3125  0.0  0.75  0.0  0.0  0.0  0.0  -0.15555555555555559  0.0  0.0  -0.35  0.0  0.5  0.0  0.18434343434343434  0.25  0.0  -0.25  0.0  0.0  0.0  0.25  0.0  0.0  -0.13333333333333333  -0.05  0.0  0.0  0.0  0.3125  0.5  0.16666666666666666
g12,sd qw ad ad ad ad qw qw sv sv sd sd sd ad qy sv sd sv sv sv bf no no no ad ad no no sv sd sv ad h sv sd sv sd sd sd bf sd ad % no % sd qy sv sd sv sd qy qo qo h sd sd sd sd aa ny sv oo_co_cc bf bf qy ba sd sd sd sv ^2 sd qy sd no ad sd sd sv sv h sd qy nn sd sd bf sd sd sv sv qy qw no no qw sv sv ba h sd sv sv sv qy aa h sd sd qw bf sd sd h sv sd bf sd sv sd sd sd aa ar sd sd sv sd sv ad sd ba sv ad ad ad sv sv qy sv sd sd ad aa bf ad sv ad oo_co_cc oo_co_cc sd oo_co_cc sd sd h ba qy sd ny sv sd qy sv aap_am sv sv sd sd sd sd sd qy qw qy sv sd sd h sd aap_am sv h sd no sd bf sv sd sv sv oo_co_cc sd sd sd sd sd qw sv sd sd sd sd sd ad sv h,u,"what steps will produce the problem.Give the exact arguments passedto include what you use and attach the input source file that gives theproblem minimal test cases are much appreciated!.Run IWYU against the following file .iwyu  clear.iwyu  cat  cstdargcpp.What is the expected output?.What do you see instead?.I'd expect this file to compile without warnings or errors.Potentially IWYU might.tell me that cstdarg is not needed.However what I actually get is a compilation error .iwyu  include what you use  cstdargcpp.Please provide any additional information below.Can you compile cstdargcpp with clang 33?.Looks like you are hitting http  clangllvmorg docs FAQhtml#i get errors about some headers being missing stddef h stdarg h.With current LLVM Clang and IWYU I see the following output.Volodymyr I think IWYU is confused because your source file is named ""cstdargcpp"";.it considers ""cstdarg"" its associated header and tries to suggest improvements for it.I think the built in include search is different on MSVC Windows so I can't reproduce here.Since issue 99 had turned out to be resolved by rebuilding against the clang 33 stableI tried this one again.I also renamed the file from cstdargcpp to blahcpp to avoid the issue mentioned above.I still find that it errors out. However I found that if I explicitly include the include path to the llvm 33 directory containing its stdargh then all is well .blahcpp should add these lines .blahcpp should remove these lines .The full include list for blahcpp .Here it is with the additional include path .So this suggests to me that when building IWYU it isn't incorporating 'builtin' LLVM clang header paths somehow.Per the link posted earlier Clang searches for its builtin headers relative to the binary.I think the same rule applies for IWYU.This suggests you should move the include what you use executable to the same directory as clang or copy the builtin includes and libs from  opt local libexec llvm 33 lib clang 33 to just next to include what you use.I still can't repro here neither on Windows nor Ubuntu but I'm not sure what headers it finds and how.This is a bit of a problem with Clang I think that its header search algorithm depends on what platform it was built on.Note that if you build IWYU Clang and LLVM together this never becomes a problem because include what you use will end up next to clang in the install tree.I'd love to hear if you can get it to work by copying include and lib from clang 33 and then we can think about a more transparent solution.This applies to LLVM 35 in MacPorts as well.Doing a regular build with clang++ mp 35 shows no problem so it's iwyu related.For what it's worth I was running into the same problem with 34 and when I copied include what you use to the same directory as clang the problem went away.So it appears that the issue is caused by the headers that are shipped with clang not being resolved correctly when include what you use is located in a different directory.I ran this by the Clang development list and it seems we need to distribute the builtin headers with include what you use.Discussion here .http  clang developers42468n3nabblecom Standalone tools td4039043html.And this is actually mentioned in passing here .http  clangllvmorg docs LibToolinghtml#builtin includes.I'll try and update our packaging script to include Clang's builtin headers.Do you want to add Clang's builtin headers to the distributed archive or to bake headers into IWYU binary?.Since we have more than one build system I thought I'd add the builtin headers to the archive as a first step but ideally I'd like to bake the headers in.OK so I've experimented a little bit in my local Windows working copy.It seems that building a directory tree like this works reasonably well .I can copy this anywhere add the include what you use bin root to my path in a clean shell and it works.Does this look at all FHS friendly?.@sylvestre on CC  How does this match what you're doing for Debian?.I wonder if we should add the equivalent of a make install step?.Actually I am not sure how useful is a temporary fix by adding headers to distributed archives.At least people in this thread haven't complained about distributed IWYU binary they've built IWYU manually.I was thinking about creating a file containing baked in builtin headers with a Python script.Reasons for that  I am not very good with build systems; there will be less differences between different build systems.They're building out of tree and so run into the same problem    they can only get IWYU to work if they put it in the Clang bin root.But you're right; solving this in packaging won't help users building out of tree.Yeah a Python script sounds good we should be able to run it from both CMake and Make.The example from Olivier Goffart seemed pretty straightforward and should port to Python easily.I can build a draft implementation and we'll see how far it goes.I'm working on packaging IWYU for Fedora RHEL so it can be easily installed using the standard ""yum install"" process on those platforms.In that case the header files are already in the right place because both clang and IWYU are installed in the system directories.So if an option is added to copy package the headers as part of the install process then can an option to disable that please be added as well?.Kim that looks great. Under Debian I have clang installed here   usr lib llvm 35 lib clang 350 include.I've worked on embedding the headers but I can't get it to work properly.After convincing CMake to run the Python script I now get a compiler error from MSVC that the string literals are larger than 64K.Since some of the builtin headers are in the 3 500K range this seems hard to get around.I'll take a break from this and come back to it but ideas are welcome!.I just symlink the lib folder from my Clang install to a folder named lib where the iwyu binary would expect it and it finds the builtins that way.Is there any fix or work around which does not require root?.I don't have root access to my machine and I would like to use IWYU.I tried copying the folders from  usr lib64 clang 350 * to my iywu folder  but without success.The relative path distance between  usr bin clang and  usr lib clang <ver>  needs to be preserved so if you have the IWYU executable at ~ my iwyu folder include what you use the builtins need to be at ~ my iwyu folder  lib clang <ver> .Also <ver> needs to match the version IWYU was built for double check with `include what you use   version` which Clang version it's built against.I built iwyu 03 with clang 35 on Fedora 21 and this issue seems to be fixed.We haven't done anything actively so chances are you've installed iwyu into  usr bin.or built in tree with Clang or had the builtin headers available in the right place some other way.I'm not sure but I believe that this is a change in llvm clang because with IWYU 02 clang 34 I had to set up the relative paths to get the tests to pass but with 03 35 the tests pass without the relative paths.There has been zero progress on this issue for years.Is there a roadmap?.No definitive roadmap in sight.The problem is that the headers belong to Clang and if it's not installed the headers are not available.Furthermore if Clang is installed IWYU needs to either know where or be installed in the same place to be able to find them.So in a sense this is a packaging problem    an IWYU package should depend on the Clang package to ensure the headers are available.It also needs to install to the same bin path.I've experimented with embedding the headers into the binary see above but haven't found anything that's portable.A packager could maybe ship the headers with IWYU as well but then we risk conflicting with Clang's headers and that's probably not kosher solvable on all platforms.When building locally you could build the clang headers target which I think copies them into the right location relative your build root.Are these issues really all the same?.Which component hardcodes the search path?.In my case I'm building locally.Thus the path information is available during the build.Why can't this not be hardcoded?.I don't know much about clang tooling but even if the default search path can't be modified an extra include would fix the issue just as well.Something like an  isystem option.Good question.I'm not sure if they're all the same.The search path for builtins appears to be called the ""resource dir"" and its default is hard coded by the Clang Frontend library to point to some approximation of dirnameargv[0]  lib clang <version> see https  githubcom llvm mirror clang blob master lib Frontend CompilerInvocationcpp#L1693.But there also seems to be a switch  resource dir to override this default.If we could ship the builtin headers with IWYU and install them to a known location we could make  resource dir point to that location something like $iwyu bin  share clang headers.I still think there may be challenges with platforms like Windows where there's no Filesystem Hierarchy Standard to speak of but this might be a way forward.Does this sound like a way forward?.That sounds doable!.On the other hand I'm wondering whether iwyu should control this at all.There are only a few principle ways iwyu is being invoked.Through iwyu tool on a shell or through CMake.Why not try to Do The Right Thing in these specific cases but make it overridable through a resource dir option?.Doing the right thing means guessing the resource directory In particular .iwyu tool  The compilation database contains compiler binary.From that we can determine the location of the headers.shell  Not sure what the right thing here is.We can try to guess the correct path by looking for usual suspect compilers.CMake  Here we'll need some help from CMake which again knows the correct compiler.So it can supply a guess for the  resource dir option.I know nothing about clang on windows however.I think one challenge is that IWYU is tightly tied to a specific Clang version namely the one it was built with.The builtin headers are revision locked with the compiler source code.So the compiler usually used to compile the user source the one provided in compile commandsjson is not necessarily the same version as IWYU's base compiler.Typically it's not even Clang.True I didn't consider this.You can't really swap out intrinsic headers and expect things to go over smoothly.That leaves us only with shipping the headers.This makes packaging and distribution slightly more involved but not impossible.Something like $PREFIX share iwyu include seems to be an appropriate location at least for linuxoid systems.Unfortunately the clang resource dir is not exported by clang's CMake.So again we can only make guesses.We could probably submit a patch to upstream though to export this.posted a patch for the upstream exposure here  https  reviewsllvmorg D49486.Thanks!.To come back to the potential solution I think it comes down to .As a build step copy the resource dir into the IWYU build tree  $BUILD share iwyu include.Change the current output path for include what you use to $BUILD bin include what you use rationale later.Add a CMake install rule to copy them to the install tree at $PREFIX share iwyu include.Have IWYU set Clang's resource dir to dirnameiwyu binary  share iwyu include which is pretty much what Clang does I think.By building directly to bin  it becomes possible to run IWYU directly from the build dir after build especially if there's some kind of order dependency for copying the headers.Does that sound about right?.As someone who's struggled off and on to provide usable IWYU packaging in Homebrew for several years it's either ""build the world"" or ""hackily symlink to Xcode's included headers and break during its upgrades"" if we get to a place where I canÃ¢â¬Â¦.Depend on clang in Homebrew in a way it produces the header files for IWYU's use.Have IWYU put these in a well known place share is fine.Let IWYU look for them here possibly even override this with a configure or CMake variable so I can tweak it if things aren't entirely compatible?.Ã¢â¬Â¦ then I will be very happy and packaging this in the future becomes much much easier.My plan was roughly this .Add a IWYU RESOURCE DIR cmake cache which defaults to CLANG RESOURCE DIR.If they end up being unequal install the entire CLANG RESOURCE DIR into IWYU RESOURCE DIR This allows distinguishing behavior between building installing and packaging!.Export IWYU RESOURCE DIR to the implementation and plug it as a system header include path into the CompilerInstance.I'll cobble this together and paste a link!.Here it is  pfaffe include what you use@f4732dbeb2696266d60b97365630d4c099c47ba1.Currently this doesn't handle the difference between an install tree and a build tree correctly.This I'll have to figure out yet.If IWYU RESOURCE DIR manually set eg to share include what you use that directory doesn't mean anything in the build tree and becomes valid only after install.In this case we'd have to fall back to CLANG RESOURCE DIR.Not sure if cmake supports this nicely.Cool!.So IWYU RESOURCE DIR is always relative then?.That way the path gymnastics in iwyucc works out in the installed tree at runtime which is a prerequisite for binary packages eg for Windows.Yeah the build vs install tree was what I had planned to work around by brute force copying the clang headers into the build tree if necessary but that's pretty ugly.Or we could symlink them into the build tree except that doesn't work on Windows but I guess CMake falls back on copy.It doesn't have to be relative.The default is equal to clang's CLANG RESOURCE DIR which is most likely absolute Is this an issue on windows?.Copying works but it really is ugly.Maybe we can instead add both IWYU RESOURCE DIR and CLANG RESOURCE DIR as system include paths but let IWYU take precedence.That way if IWYU is set to something that points into the void as it'd likely be in a build tree if it's set we'd fall back to CLANG at runtime.I can imagine it would be if there's a hard coded absolute path compiled into IWYU.On Windows the natural ""packaging"" paradigm is to build a GUI installer often from a toolkit.The installer contains all files in an unrooted tree sort of like a tar archive.The first thing a GUI installer typically prompts for is the install root similar to the prefix but Windows installers can write files anywhere they like on the disk.The default here would be something like C \Program Files\include what you use but I might elect to install IWYU into F 	emp\include what you use.So the install root can not be fixed at configure time it needs to be resolved at runtime.I'm not sure how stuff like this works in the Unix world    I haven't had a chance to get acquainted with any packaging system    can you not override the prefix for a package when installing it?.Also why system include path rather than  resource dir?.In Linux install behaves the same.It didn't seem like i can properly pass the resource dir into the tools.And there is only one resource dir so the fallback thing wouldn't work in that case.In Linux install behaves the same.In that case I don't understand how hard wiring an absolute path decided at configure time can work.And there is only one resource dir so the fallback thing wouldn't work in that case.Ah hm.I think it would make sense to make the fallback unnecessary but yeah until then  isystem should be equivalent.In that case I don't understand how hard wiring an absolute path decided at configure time can work.That only makes sense if at configure time the path of the clang resources is know.Otherwise you can just specify a relative directory.The relative directory will then be relative to the install prefix.OK so if the IWYU package being built uses the same default install prefix as the user installing IWYU this will work.And I guess that's the typical scenario.But in all other corner cases it will fail eg user overriding install prefix packager building with a non standard prefix user doesn't have clang installed Windows [not really a corner case but yeah  ].So it seems better to me to just always bundle the headers with IWYU.Or maybe it's a build flag    IWYU BUNDLE BUILTIN HEADERS    so that packagers can choose to bundle them but lowly people like myself can just run IWYU from the build tree with the clang resource dir path compiled in.Let me clarfiy how I expected this to be used .Use case a  If you build IWYU for yourself ie you have the clang sources or at least headers around and don't install or 'presist' the build anyhow you just leave IWYU RESOURCE DIR alone and everything will just work as you'd expect.At runtmie iwyu picks up the headers that belong to the clang you used during build.Use case b  If you build IWYU for distribution ie packaging or local installation you set IWYU RESOURCE DIR to a relative path.As result the resource headers will be copied into the bundle and picked up from there at runtime.In my hacky implementation there are two caveats wrt the uses cases .What if you don't want to bundle the headers but just have them in a weird location?.You'd want to set IWYU RESOURCE DIR but not copy anything anywhere.This also is when you'd set the dir to an absolute path.A seperate BUNDLE option like you suggested would fix that.The divergence between build tree and install tree behavior we discussed above.This can be fixed by using the fallback onto CLANG RESOURCE DIR.As noted inÂ #827 the builtin headers are now copied to the build dir under all configurations That solves this issueÂ whenÂ include what you useÂ is executed from the build tree which is not the case most of the time.Next step should be to also install the headers together with IWYU It's been quite some time since I investigated this but I seem to recall there's noÂ straightforwardÂ way to override Clang's idea of where the builtin headers should be But there might be a more or less hacky way to do it.I think there are a number of increments to this .So TL;DR; not sure what the next step is Needs more investigation and thinking which requires more time of which I don't have much right now",0.0  0.13333333333333333  0.0  0.10000000000000002  0.0  -0.1  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  -0.2  0.0  -0.4  -0.1  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.35  0.0  0.0  0.0  0.0  0.0  -0.25  0.0  0.0  0.5  0.0  0.0  0.09999999999999999  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.5499999999999999  0.10416666666666667  0.2  0.3666666666666667  0.375  0.0  0.0  0.024999999999999994  -0.3  0.0  -0.14529914529914525  0.0  0.2857142857142857  0.6  0.3527777777777778  0.1  0.21666666666666667  0.2857142857142857  0.0  0.8  0.0  0.0  0.25  -0.2916666666666667  0.5  0.0  0.0  0.0  0.3  0.0  0.0  0.1  -0.13333333333333333  0.1869047619047619  -0.08333333333333333  0.0  0.0  0.0  -0.2  0.25  0.4  0.0  0.0  0.0  0.09523809523809523  0.1  0.0  0.0  0.4  0.0  0.1  0.0  0.7  -0.125  -0.2916666666666667  0.0  0.0  0.0  0.4  0.0  -0.125  -0.1  0.0  0.14285714285714285  0.22619047619047616  0.0  0.0  0.01785714285714285  -0.25  0.0  0.0  0.0  -0.08928571428571429  0.0  -0.2625  0.08333333333333333  0.35  0.30000000000000004  0.0  0.41666666666666663  0.1  -0.5  0.0  0.0  0.0  0.25  -0.051851851851851864  0.0  0.0  0.0  0.225  0.16  0.34285714285714286  0.0  0.0  0.4166666666666667  0.0  0.39999999999999997  -0.1  0.0  0.0  0.0  0.0  0.0  0.0  0.0  -0.15625  0.0  0.175  0.4375  0.0  0.0  -0.15  0.0  0.0  0.175  -0.7  0.0  0.0  -0.04583333333333334  0.1  0.0  0.02777777777777778  0.8  0.1  0.125  0.0  0.0  0.0  0.0  0.0  -0.04583333333333334  0.0  0.0  -0.4  -0.04583333333333334  0.0  0.0  0.0  0.25  -0.16666666666666666  -0.18125  0.5  0.0  -0.1  -0.3  0.0  0.0  0.0  0.0  -0.5  0.0  0.2  0.0  0.0  0.1  0.5  0.036458333333333336  0.0  0.20714285714285713
g13,sd sd sd sd qy ng sv ad ba sv ba,s,Don't set sheet's rules to empty list in replaceSync #103.TheÂ spec descriptionÂ forÂ replaceSync(text)Â lists onÂ step 3)Â that theÂ sheet's CSS rules should be set to an empty list..This happens beforeÂ step 5)Â where we might still throw aÂ NotAllowedErrorÂ if the parsedÂ textÂ contains anyÂ @importÂ rules..This would lead to behavior where a sheet that already has existing rules callsÂ replaceSync(text) throws aÂ NotAllowedError and still has its rules cleared to nothing..Is this the intended behavior? As a user I would expect that if aÂ NotAllowedErrorÂ is thrown then the existing rules would remain unaffected..Â I don't think this is intended behavior; if we're going to reject the operation it shouldn't have any side effects..It seems reasonable to me thatÂ Step 3)Â can be removed all together. The currentÂ Step 6)Â assigns theÂ sheet's rules to the parsed rules which will already be empty if the parse failed as specified inÂ Step 4)..Don't set sheet's rules to empty list in replaceSyncÂ #103.Interesting thanks for noticing..I made #103 to fix the spec and looks like the impl in Blink needs updating too..Thanks!,-0.1  -0.1  0.0  0.0  -0.05  0.0  -0.1  -0.1  0.35  0.0  0.25
g14,sd ad sd aa,s,"Don't set sheet's rules to empty list in replaceSync #103.SeeÂ #101Â for more context..It's possible to throw an error after the ""set to empty list"" set resulting in a state where we lose the original contents of the stylesheet which is not ideal.approved",-0.1  0.5  -0.04375  0.0
g15,sv sd sd sv sv sd sd h oo_co_cc sd ba qy sd sv sv qo sd ad,s,"m00#101.I started a kind of concrete poetry book immediately after taking a p5js 101 workshop a few weeks ago, and thought I would use it as my nanogenmo project:.to see what I could actually do with p5 in terms of text manipulation, and more pressingly to try and become a tiny bit more proficient at the mathematical side of programming in a language with very simple syntax (I have pretty much no mathematical understanding at all, and it is increasingly becoming a bit of a bottleneck in making interesting things)..This didn't entirely work out - schedule disruptions happened, and the resulting project is much less mathematically ambitious than I'd hoped..I had also hoped to do some actual generative text work of some kind, but ended up leaving the placeholder text I used ('yes, and?', plus some punctuation and emoji hearts) in as the sole source for visual manipulation, both as a time-saver and because I thought it was kinda fun having the whole book be made up of so little text..However! it is complete, and it does look nice. Links:.Live output (sort of mobile-friendly, but definitely better on desktop): https://yesand.glitch.me/.Source remixable on Glitch: https://glitch.com/edit/#!/remix/yesand.I believe it is 171,002 words (the extra two are superimposed on to the heart on page 6), but am not completely sure if that's correct since I am a little hazy on how my for loops and p5's frame drawing interact with one another..If anyone knows I would love to confirm one way or another!.I've also turned the PDF preview into a tiny printable one-page zine, because why not..Nice!.Can I get one of your zines in trade for something from my micropress Bad Quarto?.Drop me a line if so, I love computer-generated books & zines..You might also see about getting them out to people by selling them at bookartsbookshop there in London..that would be lovely..Whatâs the best way to organise this/get it to you?.This is all very new territory for me, I donât usually work with physical media at all!.Email me (address in GitHub profile) and we can exchange postal addresses.",0.0  0.18333333333333335  0.22000000000000003  0.02777777777777778  0.13035714285714284  0.35  0.3181818181818182  0.0  -0.14583333333333334  0.625  0.0  0.75  -0.6999999999999998  0.5  0.0  0.5  1.0  -0.024242424242424242  0.0
g16,qy qw sv sd ba sd sv sd sd sd qy qo sd ad,s,"is it possible when i look at x.sp@barcode, there are duplicates?. if so what could be the reason?.Thatâs because you have merged multiple samples and barcode might be identical..A barcode is defined by both barcode and file slot.Thank you very much!!.On Tue, Sep 24, 2019 at 12:35  <notifications@github.com> wrote:.Thatâs because you have merged multiple samples and barcode might be identical..A barcode is defined by both barcode and file slot.Sent from my iPhone.On Sep 24, 2019, at 10:30 AM,wrote:.is it possible when i look at ***@******, there are duplicates?.if so what could be the reason?.You are receiving this because you are subscribed to this thread..Reply to this email directly, view it on GitHub, or mute the thread.",0.0  0.0  0.0  0.0  0.40625  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.1
g17,qo sd qy sd,s,"What doesall mean when returned as a version number from browserslist()?.for example, i'm getting:.Can I Use use all version for cases when they donât track browser versions and keep only one entry for all versions..closed this on Jan 6, 2017",-0.3125  0.0  0.0  -0.1
g18,sd sd sd,s,"Can I have all the dataset download link from the torch text examples?.I can see there are examples, but I can't understand them without the dataset. Where they are?.which example?.For example, the pos/wsj one. Thx.All of them. For example, the post/wsj one. Thanks.oh, this is based on some legacy code (like data.TabularDataset) and we will remove them sooner. You can take a look at the examples in the pytorch/text/examples folder..ok",-0.025  0.0  0.30833333333333335
g19,sd ad ad ad ad ba,s,"This pull request addresses #82..clone git submodules when they are present.Coping with gitmodule files without ""url"".Properly check for git remote objects.github remote supports submodules.Thanks for this useful feature!",0.0  0.0  0.0  -0.05  -0.1  0.2875
g20,sd ad ad ad ad ba,s,"This pull request addresses #82..clone git submodules when they are present.Coping with gitmodule files without ""url"".Properly check for git remote objects.github remote supports submodules.Thanks for this useful feature!",0.0  0.0  0.0  -0.05  -0.1  0.2875
g21,sd sd sd sd sd ad ad ad ad ba qo no no sv qy % qo qo qy fp bf sv bh bf sv oo_co_cc aa sd qo sd sd sd sd ad sd,s,"Initial support for git submodules #103.This initial support is based on the work done by @ for devtools, plus minor additions from my side..It includes submodules support for git2r, xgit and github remotes..It is not fully recursive yet, and the code is still not all cleanly separated, but it works as a first approach..This pull request addresses #82..clone git submodules when they are present.Coping with gitmodule files without ""url"".Properly check for git remote objects.github remote supports submodules.Thanks for this useful feature!.Any idea when this code will be merged into master?.No idea from my side..The pull request has been hanging out for a bit, but nothing much has happened since..Hopefully your comment will bring the attention back to this pull request..Bump?.Well, you said that:.not fully recursive yet, and the code is still not all cleanly separated,- thoughts?.I've been using your fork and it works recursively for me, so what functionality is absent?.so I was wondering if you wanted to finish it..Hi.When I say that it's not fully recursive I mean that submodules are not checked for submodules (e.g., repository A references repository B, which in turn references repository C), which IIRC hasn't been implemented yet..I didn't even try that scenario, so if it works it's pure chance..When you say that it works recursively for you, do you mean exactly that, or only that one level of submodule references works fine?.By the code not being cleanly separated I mean that the specifics about ""recursiveness"" are not generic enough at the moment since {{install-remotes.R}} has code that is specific to {{git}}-related remotes, instead of generalizing this concept and coding it into each of the supported remotes..As a first iteration it works though, which is why I though this request was maybe already good enough to be present as a first iteration..If thinks this needs a bit more of work before being accepted I could try to find some time to address the comments, but can't promise any speedy delivery..Admittedly, I've only tested with a single submodule level, so it behaved the same as a git clone recursive call for the same repo..cderv mentioned this pull request on May 28, 2018.How could I release an R package on github using github submodules? #133.Closed.added a commit to remotes that referenced this pull request on Aug 10, 2018.Support retrieving submodules.added a commit to remotes that referenced this pull request on Aug 16, 2018.Add support for retrieving submodules to all remote types.closed this in 0927172 on Aug 20, 2018",0.0  -0.025  0.0  0.30833333333333335  0.0  0.0  0.0  -0.05  -0.1  0.2875  0.0  0.0  0.2  0.0  0.0  0.0  0.3666666666666667  0.0  0.0  0.0  -0.3125  0.21428571428571427  0.08854166666666667  0.010833333333333339  0.24  0.5  -0.017857142857142856  0.0  0.0  -0.1  0.0  0.0  0.0  -0.1  -0.1
g22,ad ad ad sd ad sd qy qy sd sd,s,"Add design files to the repo #103.Add mockups and base AI file to the repo in order to create static mockups..added a commit to k88hudson/collusion that referenced this issue on Sep 28, 2012.I added an AI file and pdf version.assigned dethe on Sep 28, 2012.dethe added a commit that referenced this issue on Sep 28, 2012.Is anything else remaining to add for the Oct 8th release?.Can I close this issue?.This is resolved for now.closed this on Oct 16, 2012",0.0  -0.15000000000000002  0.0  0.0  0.0  0.0  0.0  0.0  0.0  -0.1
g23,sd sd sv sd,s,"Download of multiple files is not working 29023.ometiff export is only possible for one file at a time 29022.Both have to be checked with newer Insight, maybe already fixed..For some non archived images (OMERO version < 5) the download action is enabled which results in throwing a NPE 29045",0.0  0.0  0.1  0.1
